일자별 수요예측 리스트 (단위 : MW),,,,,,,,,,,,,,,,,,,,,,,,
구분,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
20230101,"62,043","59,869","58,085","57,193","57,093","57,684","58,167","58,851","58,324","55,912","54,552","52,280","50,690","50,982","52,155","55,184","59,518","63,655","65,240","65,150","64,364","63,581","63,597","63,906"
20230102,"61,726","59,764","58,490","58,102","58,902","60,885","65,250","72,373","81,845","83,981","82,354","79,585","74,734","76,775","78,333","80,258","83,455","83,094","80,492","77,696","75,324","72,461","70,587","71,804"
20230103,"66,415","64,352","63,385","61,999","63,802","64,583","68,346","74,482","80,240","80,808","79,365","75,712","72,145","74,533","75,604","75,857","78,135","78,556","78,346","76,469","72,996","71,126","69,251","70,067"
20230104,"68,904","66,546","65,384","64,599","64,998","66,576","70,134","75,483","83,444","84,339","82,578","79,620","75,651","77,961","80,025","81,570","83,435","82,650","81,140","78,356","75,885","72,719","70,338","70,756"
20230105,"69,006","66,447","64,983","64,299","65,200","66,279","69,938","74,473","81,933","83,603","82,773","79,906","75,413","77,797","80,162","81,414","82,420","81,983","79,973","77,845","74,675","72,808","70,662","71,080"
20230106,"68,413","66,643","65,368","63,878","65,376","65,960","70,127","75,176","83,454","85,392","85,335","82,772","78,688","80,353","82,139","83,224","83,596","81,718","79,490","76,596","75,316","72,641","71,761","71,677"
20230107,"65,896","63,034","62,563","60,377","60,269","60,957","62,334","63,667","65,347","65,331","65,832","65,681","63,617","64,259","65,305","65,137","65,224","65,649","66,640","66,280","65,803","63,927","64,935","64,953"
20230108,"63,726","61,053","59,270","58,278","58,278","58,968","59,951","60,635","60,546","58,847","58,600","57,244","56,256","56,737","57,795","60,119","63,503","67,036","68,120","67,730","66,744","65,463","65,079","65,488"
20230109,"61,726","59,664","58,390","57,802","58,002","59,785","63,950","71,320","80,894","83,390","82,763","80,787","76,876","79,238","80,597","81,942","83,781","82,037","78,834","75,881","73,207","70,641","68,660","69,476"
20230110,"66,306","64,142","62,768","62,382","62,590","64,284","68,147","73,902","80,973","81,469","78,967","75,308","70,134","73,026","74,687","76,637","79,343","79,057","77,624","76,003","73,323","70,646","70,170","69,493"
20230111,"65,880","64,225","62,659","62,376","62,687","64,179","67,832","73,397","80,351","79,840","77,444","73,689","68,320","70,490","71,168","73,325","75,958","76,862","76,821","74,927","72,550","70,177","69,299","69,126"
20230112,"65,736","63,469","62,191","61,697","62,124","63,608","66,873","72,279","79,167","79,083","76,446","72,844","68,152","70,050","71,427","73,317","76,220","76,268","74,928","73,189","70,998","69,016","69,020","68,632"
20230113,"62,847","60,570","58,587","58,493","59,192","60,478","63,952","69,011","76,990","81,137","80,957","79,870","76,893","80,490","79,990","78,592","77,874","75,427","74,177","72,370","70,378","68,294","66,707","65,819"
20230114,"61,351","59,276","56,896","56,107","56,408","56,896","58,072","59,222","62,098","63,339","64,474","63,988","62,107","61,509","60,992","61,162","60,945","61,614","62,979","62,736","62,953","61,374","60,962","61,594"
20230115,"63,548","61,381","59,900","59,111","59,109","59,696","60,574","61,018","60,838","58,790","57,789","56,008","54,812","55,092","56,084","58,463","61,876","64,800","65,942","65,613","64,925","64,147","63,933","64,146"
20230116,"60,405","58,145","56,774","56,390","56,887","58,866","62,829","69,359","78,717","81,611","80,766","77,920","72,979","74,858","75,721","76,549","78,641","78,546","77,209","75,214","72,640","70,376","69,902","69,731"
20230117,"67,049","64,606","63,748","63,370","63,766","65,336","68,976","75,280","83,119","84,209","81,375","78,020","73,671","76,048","77,822","80,377","82,580","82,770","80,727","78,132","75,062","72,802","72,232","72,364"
20230118,"67,318","64,948","63,769","63,180","63,580","65,070","68,720","74,179","81,540","81,784","79,910","77,047","72,271","75,557","78,130","79,600","81,891","81,635","78,910","77,422","74,551","72,387","72,225","71,537"
20230119,"67,784","65,734","64,155","63,470","64,020","65,607","68,681","73,799","80,635","82,080","79,821","76,289","72,204","74,930","77,014","78,342","80,235","79,171","76,862","75,230","72,158","70,996","70,151","70,169"
20230120,"66,400","64,041","62,766","62,283","62,789","64,275","67,241","71,097","76,844","76,194","73,470","70,223","65,153","67,024","67,066","67,288","68,002","67,821","68,495","67,722","67,055","65,589","65,220","67,435"
20230121,"64,266","61,506","59,621","58,720","58,515","58,801","58,885","58,263","56,829","52,904","50,161","48,318","46,749","46,351","47,617","50,057","53,961","57,668","59,764","59,530","59,234","58,462","59,181","59,787"
20230122,"57,263","55,102","53,641","52,969","52,962","53,447","54,412","54,772","53,087","49,316","47,355","46,382","45,898","46,278","47,157","48,526","51,201","54,180","56,366","56,622","56,710","56,718","57,529","58,524"
20230123,"55,632","53,890","52,624","52,167","52,380","53,063","53,551","53,855","52,850","49,500","47,244","45,528","44,529","45,020","46,310","49,977","54,582","58,367","60,950","60,910","60,633","60,178","60,822","61,339"
20230124,"58,801","56,854","55,675","55,388","55,588","56,667","57,427","57,949","58,197","56,556","55,187","53,708","52,924","53,528","54,802","57,046","60,423","63,745","65,716","65,324","64,751","63,693","63,923","64,144"
20230125,"61,421","59,159","58,182","57,898","58,500","60,386","63,656","68,764","76,729","78,082","75,316","72,764","67,885","69,869","72,045","74,910","78,754","78,973","77,950","76,062","73,993","71,423","70,346","72,260"
20230126,"68,645","66,488","65,014","64,131","64,651","66,536","69,603","76,036","84,581","87,236","86,333","82,796","78,613","80,299","80,687","81,223","82,621","81,837","79,712","77,513","75,145","73,379","72,607","72,622"
20230127,"69,488","66,930","65,456","65,073","64,769","66,454","70,120","76,454","84,887","86,514","84,773","82,019","77,748","80,109","81,397","82,951","84,946","84,063","81,536","79,411","77,344","74,478","74,419","73,834"
20230128,"70,065","67,006","65,331","63,642","64,254","64,537","66,515","68,013","70,695","69,744","70,035","67,761","63,970","63,669","64,358","65,529","68,547","70,358","71,724","70,242","69,254","67,976","69,205","69,429"
20230129,"60,175","55,611","52,930","51,447","51,853","53,137","54,916","56,062","57,453","57,651","59,001","58,230","56,737","57,045","57,514","59,315","62,572","66,794","69,050","68,158","66,673","64,900","64,635","65,046"
