Date,Price,Open,High,Low,Vol.,Change %
31-Dec-19,66,66.65,66.93,65.63,171.01K,-3.57%
30-Dec-19,68.44,68.2,68.99,68.16,29.42K,0.41%
27-Dec-19,68.16,67.91,68.33,67.57,112.22K,0.35%
26-Dec-19,67.92,67.27,67.99,67.22,69.82K,1.07%
24-Dec-19,67.2,66.44,67.26,66.36,104.94K,1.22%
23-Dec-19,66.39,66.15,66.62,65.81,130.19K,0.38%
20-Dec-19,66.14,66.56,66.72,65.7,210.55K,-0.60%
19-Dec-19,66.54,66.19,66.78,66.03,229.21K,0.56%
18-Dec-19,66.17,65.84,66.43,65.56,248.77K,0.11%
17-Dec-19,66.1,65.31,66.24,65.12,239.85K,1.16%
16-Dec-19,65.34,65.05,65.66,64.88,183.35K,0.18%
13-Dec-19,65.22,64.56,65.79,64.5,232.75K,1.59%
12-Dec-19,64.2,63.9,64.85,63.87,238.31K,0.75%
11-Dec-19,63.72,64,64.26,63.01,250.14K,-0.96%
10-Dec-19,64.34,64.03,64.69,63.78,235.19K,0.14%
09-Dec-19,64.25,64.29,64.5,63.61,239.77K,-0.22%
06-Dec-19,64.39,63.41,64.88,62.83,314.60K,1.58%
05-Dec-19,63.39,62.97,63.91,62.75,294.84K,0.62%
04-Dec-19,63,61.08,63.51,61,319.04K,3.58%
03-Dec-19,60.82,61.05,61.58,60.3,248.55K,-0.16%
02-Dec-19,60.92,60.73,62.09,60.72,297.87K,-2.42%
29-Nov-19,62.43,63.77,63.86,62.36,19.65K,-2.25%
28-Nov-19,63.87,63.91,64,63.19,96.08K,-0.30%
27-Nov-19,64.06,64.02,64.6,63.51,125.47K,-0.33%
26-Nov-19,64.27,63.7,64.32,63.44,181.10K,0.97%
25-Nov-19,63.65,63.6,63.8,62.97,212.05K,0.41%
22-Nov-19,63.39,63.62,64.27,62.98,228.74K,-0.91%
21-Nov-19,63.97,62.22,64.03,61.92,318.49K,2.52%
20-Nov-19,62.4,60.94,62.8,60.3,343.31K,2.45%
19-Nov-19,60.91,62.28,62.57,60.7,296.80K,-2.45%
18-Nov-19,62.44,63.36,63.57,61.94,228.25K,-1.36%
15-Nov-19,63.3,62.47,63.65,61.7,255.68K,1.64%
14-Nov-19,62.28,62.61,63.21,62.15,234.78K,-0.14%
13-Nov-19,62.37,61.85,62.74,61.22,273.03K,0.50%
12-Nov-19,62.06,62.11,62.85,61.82,238.17K,-0.19%
11-Nov-19,62.18,62.6,62.76,61.57,213.34K,-0.53%
08-Nov-19,62.51,62.29,62.7,60.66,287.67K,0.35%
07-Nov-19,62.29,61.73,62.89,61.65,261.07K,0.89%
06-Nov-19,61.74,62.78,63.32,61.59,275.94K,-1.94%
05-Nov-19,62.96,62.04,63.19,61.85,231.67K,1.34%
04-Nov-19,62.13,61.8,62.78,61.28,235.38K,0.71%
01-Nov-19,61.69,59.45,61.82,59.4,236.09K,2.42%
31-Oct-19,60.23,60.57,61.13,60.07,13.90K,-0.63%
30-Oct-19,60.61,61.6,61.93,60.45,105.87K,-1.59%
29-Oct-19,61.59,61.61,61.98,60.66,136.93K,0.03%
28-Oct-19,61.57,62.04,62.34,61.19,167.86K,-0.73%
25-Oct-19,62.02,61.5,62.11,60.93,204.45K,0.57%
24-Oct-19,61.67,60.99,61.9,60.64,215.54K,0.82%
23-Oct-19,61.17,59.48,61.3,58.85,313.23K,2.46%
22-Oct-19,59.7,59.05,60.26,58.75,260.60K,1.26%
21-Oct-19,58.96,59.23,59.55,58.26,212.57K,-0.77%
18-Oct-19,59.42,59.78,60.29,59.01,228.14K,-0.82%
17-Oct-19,59.91,58.99,60.04,58.69,269.84K,0.82%
16-Oct-19,59.42,58.9,59.75,58.36,257.88K,1.16%
15-Oct-19,58.74,59.3,59.68,58,305.68K,-1.03%
