Date,Price,Open,High,Low,Vol.,Change %
31-Dec-19,2.189,2.191,2.207,2.151,116.89K,0.14%
30-Dec-19,2.186,2.247,2.258,2.182,124.33K,1.30%
27-Dec-19,2.158,2.272,2.286,2.138,8.62K,-5.93%
26-Dec-19,2.294,2.184,2.297,2.184,53.81K,2.59%
25-Dec-19,2.236,2.208,2.237,2.208,-,2.95%
24-Dec-19,2.172,2.202,2.223,2.162,49.76K,-1.90%
23-Dec-19,2.214,2.254,2.269,2.192,127.89K,-4.90%
20-Dec-19,2.328,2.289,2.345,2.279,153.38K,2.42%
19-Dec-19,2.273,2.282,2.302,2.232,231.82K,-0.57%
18-Dec-19,2.286,2.318,2.327,2.257,186.14K,-1.42%
17-Dec-19,2.319,2.349,2.362,2.282,162.32K,-0.94%
16-Dec-19,2.341,2.296,2.377,2.285,163.03K,1.96%
13-Dec-19,2.296,2.341,2.342,2.253,170.40K,-1.37%
12-Dec-19,2.328,2.248,2.348,2.244,258.90K,3.79%
11-Dec-19,2.243,2.265,2.303,2.24,220.22K,-0.93%
10-Dec-19,2.264,2.253,2.289,2.216,270.89K,1.43%
09-Dec-19,2.232,2.21,2.258,2.158,322.56K,-4.37%
06-Dec-19,2.334,2.417,2.437,2.328,251.41K,-3.83%
05-Dec-19,2.427,2.406,2.463,2.396,179.53K,1.17%
04-Dec-19,2.399,2.439,2.463,2.368,195.33K,-1.72%
03-Dec-19,2.441,2.345,2.51,2.34,307.31K,4.81%
02-Dec-19,2.329,2.315,2.369,2.289,219.04K,2.10%
29-Nov-19,2.281,2.497,2.513,2.27,244.12K,-7.39%
28-Nov-19,2.463,2.495,2.513,2.454,-,-1.52%
27-Nov-19,2.501,2.529,2.558,2.488,145.16K,1.26%
26-Nov-19,2.47,2.52,2.532,2.421,12.00K,-2.41%
25-Nov-19,2.531,2.689,2.709,2.51,70.30K,-5.03%
22-Nov-19,2.665,2.585,2.675,2.557,84.15K,3.82%
21-Nov-19,2.567,2.566,2.595,2.526,131.31K,0.31%
20-Nov-19,2.559,2.514,2.581,2.505,146.06K,1.95%
19-Nov-19,2.51,2.547,2.56,2.501,205.95K,-2.18%
18-Nov-19,2.566,2.641,2.65,2.533,186.99K,-4.54%
15-Nov-19,2.688,2.636,2.724,2.606,173.53K,1.55%
14-Nov-19,2.647,2.674,2.696,2.625,223.57K,1.81%
13-Nov-19,2.6,2.622,2.68,2.57,206.27K,-0.80%
12-Nov-19,2.621,2.637,2.685,2.607,199.64K,-0.61%
11-Nov-19,2.637,2.716,2.716,2.618,250.31K,-5.45%
08-Nov-19,2.789,2.792,2.822,2.755,175.96K,0.61%
07-Nov-19,2.772,2.823,2.882,2.753,301.60K,-1.98%
06-Nov-19,2.828,2.873,2.891,2.82,189.26K,-1.19%
05-Nov-19,2.862,2.822,2.905,2.817,218.50K,1.45%
04-Nov-19,2.821,2.796,2.842,2.781,255.67K,3.94%
01-Nov-19,2.714,2.637,2.718,2.575,239.45K,3.08%
31-Oct-19,2.633,2.686,2.738,2.606,222.32K,-2.16%
30-Oct-19,2.691,2.628,2.723,2.616,214.55K,3.62%
29-Oct-19,2.597,2.459,2.64,2.449,8.45K,6.17%
28-Oct-19,2.446,2.366,2.47,2.346,80.63K,6.35%
25-Oct-19,2.3,2.331,2.336,2.273,63.90K,-0.69%
24-Oct-19,2.316,2.285,2.342,2.269,125.65K,1.49%
23-Oct-19,2.282,2.274,2.305,2.251,146.42K,0.44%
22-Oct-19,2.272,2.236,2.311,2.231,234.96K,1.52%
21-Oct-19,2.238,2.32,2.322,2.213,215.76K,-3.53%
18-Oct-19,2.32,2.319,2.36,2.289,150.02K,0.09%
17-Oct-19,2.318,2.292,2.365,2.284,159.78K,0.65%
16-Oct-19,2.303,2.342,2.384,2.277,191.28K,-1.54%
15-Oct-19,2.339,2.285,2.349,2.266,177.88K,2.59%
14-Oct-19,2.28,2.238,2.313,2.228,171.69K,2.98%
11-Oct-19,2.214,2.203,2.262,2.187,264.18K,-0.18%
10-Oct-19,2.218,2.239,2.274,2.202,216.64K,-0.72%
09-Oct-19,2.234,2.288,2.306,2.229,197.12K,-2.36%
08-Oct-19,2.288,2.293,2.323,2.266,182.13K,-0.65%
07-Oct-19,2.303,2.333,2.342,2.287,207.41K,-2.08%
04-Oct-19,2.352,2.336,2.398,2.263,204.66K,0.99%
03-Oct-19,2.329,2.254,2.349,2.207,275.74K,3.65%
02-Oct-19,2.247,2.287,2.304,2.245,165.88K,-1.58%
01-Oct-19,2.283,2.325,2.334,2.268,232.34K,-2.02%
30-Sep-19,2.33,2.38,2.392,2.324,173.79K,-3.08%
