Date,Price,Open,High,Low,Vol.,Change %
31-Dec-19,70.53,70.53,70.53,70.53,-,-0.01%
30-Dec-19,70.54,70.3,70.3,70.3,0.02K,-0.20%
27-Dec-19,70.68,70.68,70.68,70.68,0.00K,0.40%
26-Dec-19,70.4,70.4,70.4,70.4,-,0.00%
24-Dec-19,70.4,70,70.45,70,0.01K,0.72%
23-Dec-19,69.9,69.85,69.85,69.75,0.02K,0.10%
20-Dec-19,69.83,70.4,70.4,70.4,0.00K,-1.36%
19-Dec-19,70.79,71,71,71,0.02K,0.14%
18-Dec-19,70.69,71,71,70.65,0.02K,-0.14%
17-Dec-19,70.79,71,71,71,0.01K,-0.04%
16-Dec-19,70.82,70.82,70.82,70.82,0.01K,0.10%
13-Dec-19,70.75,70.75,70.75,70.75,0.00K,-0.41%
12-Dec-19,71.04,71,71.25,71,0.02K,0.42%
11-Dec-19,70.74,70.74,70.74,70.74,0.02K,0.54%
10-Dec-19,70.36,70.25,70.4,70.2,0.01K,-0.27%
09-Dec-19,70.55,70.65,70.65,70.65,0.01K,-0.93%
06-Dec-19,71.21,72,72,71,0.02K,-1.21%
05-Dec-19,72.08,72.5,72.5,72.1,0.01K,-0.61%
04-Dec-19,72.52,73,73,72.5,0.04K,-0.93%
03-Dec-19,73.2,73.5,73.5,73.25,0.03K,-0.14%
02-Dec-19,73.3,73.4,73.4,73.25,0.05K,-1.32%
29-Nov-19,74.28,73.75,73.9,73.75,0.04K,0.95%
28-Nov-19,73.58,73.6,73.6,73.5,0.01K,-0.41%
27-Nov-19,73.88,73.6,73.6,73,0.06K,-0.42%
26-Nov-19,74.19,73.1,74.3,73.1,0.03K,1.16%
25-Nov-19,73.34,75,75,73.4,0.03K,-1.52%
22-Nov-19,74.47,74.5,74.75,74.5,0.02K,0.07%
21-Nov-19,74.42,74.45,74.5,74.45,0.02K,0.09%
20-Nov-19,74.35,74.25,74.25,74.25,0.02K,0.64%
19-Nov-19,73.88,73.15,73.8,73.15,0.03K,1.68%
18-Nov-19,72.66,72.75,72.75,72.75,0.04K,-1.01%
15-Nov-19,73.4,73.25,73.25,73.25,0.01K,0.55%
14-Nov-19,73,72.25,73,72.25,0.03K,0.87%
