Date,Price,Open,High,Low,Vol.,Change %
2023-07-26,134,134,134,134,0.01K,0.00%
2023-07-25,134,134,134,134,,0.68%
2023-07-24,133.1,133.1,133.1,133.1,,0.08%
2023-07-21,133,133,133,133,,0.76%
2023-07-20,132,132,132,132,,0.00%
2023-07-19,132,131,131,131,0.02K,-1.75%
2023-07-18,134.35,134.35,134.35,134.35,0.01K,2.48%
2023-07-17,131.1,131.1,131.1,131.1,0.01K,-0.42%
2023-07-14,131.65,131.65,131.65,131.65,0.03K,2.85%
2023-07-13,128,128,128,128,0.02K,-0.81%
2023-07-12,129.05,129.05,129.05,129.05,,-1.49%
2023-07-11,131,131,131,131,0.01K,-2.02%
2023-07-10,133.7,133.7,133.7,133.7,,-3.12%
2023-07-07,138,138,138,138,,-1.18%
2023-07-06,139.65,140,140,140,,-3.56%
2023-07-05,144.8,144.8,144.8,144.8,0.03K,1.15%
2023-07-04,143.15,142.5,142.5,142.5,0.15K,-3.31%
2023-07-03,148.05,145,145,145,0.02K,15.62%
2023-06-30,128.05,128.05,128.05,128.05,,0.12%
2023-06-29,127.9,127.9,127.9,127.9,,0.00%
2023-06-28,127.9,127.9,127.9,127.9,,0.00%
2023-06-27,127.9,127.9,127.9,127.9,,1.91%
2023-06-26,125.5,125.5,125.5,125.5,,0.00%
2023-06-23,125.5,125.5,125.5,125.5,,-0.20%
2023-06-22,125.75,125.75,125.75,125.75,,1.29%
2023-06-21,124.15,124.15,124.15,124.15,0.01K,-1.90%
2023-06-20,126.55,126.55,126.55,126.55,0.02K,-1.40%
2023-06-19,128.35,128.35,128.35,128.35,,-0.08%
2023-06-16,128.45,128.45,128.45,128.45,0.03K,-5.52%
2023-06-15,135.95,135.95,135.95,135.95,,2.99%
2023-06-14,132,132,132,132,,-0.19%
2023-06-13,132.25,132.25,132.25,132.25,0.05K,-1.31%
2023-06-12,134,134,134,134,,-1.25%
2023-06-09,135.7,135.7,135.7,135.7,0.01K,-0.40%
2023-06-08,136.25,136.25,136.25,136.25,,0.18%
2023-06-07,136,136,136,136,,1.15%
2023-06-06,134.45,134.45,134.45,134.45,0.04K,-2.40%
2023-06-05,137.75,137.75,137.75,137.75,,5.15%
