Date,Price,Open,High,Low,Vol.,Change %
31-Dec-19,24.9,24.9,24.9,24.9,-,-0.40%
30-Dec-19,25,25,25,25,-,0.00%
27-Dec-19,25,25,25,25,-,-0.20%
26-Dec-19,25.05,25.05,25.05,25.05,-,-0.20%
24-Dec-19,25.1,25.1,25.1,25.1,-,0.40%
23-Dec-19,25,25,25,25,-,-0.99%
20-Dec-19,25.25,25.25,25.25,25.25,-,-0.79%
19-Dec-19,25.45,25.45,25.45,25.45,-,0.00%
18-Dec-19,25.45,25.45,25.45,25.45,-,0.00%
17-Dec-19,25.45,25.45,25.45,25.45,-,-0.39%
16-Dec-19,25.55,25.55,25.55,25.55,-,0.00%
13-Dec-19,25.55,25.55,25.55,25.55,-,-0.78%
12-Dec-19,25.75,25.75,25.75,25.75,-,-0.39%
11-Dec-19,25.85,25.85,25.85,25.85,-,0.00%
10-Dec-19,25.85,25.85,25.85,25.85,-,0.00%
09-Dec-19,25.85,25.85,25.85,25.85,-,-0.19%
06-Dec-19,25.9,25.9,25.9,25.9,-,0.00%
05-Dec-19,25.9,25.9,25.9,25.9,-,-0.19%
04-Dec-19,25.95,25.95,25.95,25.95,-,0.00%
03-Dec-19,25.95,25.95,25.95,25.95,-,0.00%
02-Dec-19,25.95,25.95,25.95,25.95,-,0.00%
29-Nov-19,25.95,25.95,25.95,25.95,-,0.00%
27-Nov-19,25.95,25.95,25.95,25.95,-,0.19%
26-Nov-19,25.9,25.9,25.9,25.9,-,-0.38%
25-Nov-19,26,26,26,26,-,0.19%
22-Nov-19,25.95,25.95,25.95,25.95,-,-0.19%
21-Nov-19,26,26,26,26,-,0.19%
20-Nov-19,25.95,25.95,25.95,25.95,-,0.00%
19-Nov-19,25.95,25.95,25.95,25.95,-,2.17%
18-Nov-19,25.4,25.4,25.4,25.4,-,1.40%
15-Nov-19,25.05,25.05,25.05,25.05,-,0.20%
14-Nov-19,25,25,25,25,-,0.60%
13-Nov-19,24.85,24.85,24.85,24.85,-,0.81%
12-Nov-19,24.65,24.65,24.65,24.65,-,0.00%
11-Nov-19,24.65,24.65,24.65,24.65,-,-0.20%
08-Nov-19,24.7,24.7,24.7,24.7,-,0.20%
