Date,Price,Open,High,Low,Vol.,Change %
2023-07-27,2.492,2.627,2.65,2.463,2.42K,-6.49%
2023-07-26,2.665,2.72,2.739,2.625,37.31K,-2.38%
2023-07-25,2.73,2.703,2.754,2.656,35.55K,1.68%
2023-07-24,2.685,2.721,2.767,2.664,54.17K,-0.81%
2023-07-21,2.707,2.718,2.759,2.684,103.19K,-0.88%
2023-07-20,2.731,2.611,2.759,2.599,147.71K,5.65%
2023-07-19,2.585,2.612,2.642,2.57,81.16K,-1.26%
2023-07-18,2.618,2.529,2.634,2.522,101.52K,4.55%
2023-07-17,2.504,2.541,2.569,2.477,90.91K,-1.03%
2023-07-14,2.53,2.545,2.592,2.487,115.68K,-0.16%
2023-07-13,2.534,2.622,2.631,2.528,120.19K,-2.43%
2023-07-12,2.597,2.697,2.712,2.586,99.29K,-4.91%
2023-07-11,2.731,2.667,2.748,2.63,130.58K,2.32%
2023-07-10,2.669,2.57,2.692,2.57,124.50K,3.37%
2023-07-07,2.582,2.635,2.675,2.536,103.59K,-1.03%
2023-07-06,2.609,2.652,2.687,2.586,109.30K,-1.81%
2023-07-05,2.657,2.699,2.793,2.648,124.91K,-3.42%
2023-07-04,2.751,2.689,2.758,2.662,,1.55%
2023-07-03,2.709,2.729,2.746,2.67,79.62K,-3.18%
2023-06-30,2.798,2.677,2.828,2.634,147.27K,3.59%
2023-06-29,2.701,2.662,2.746,2.616,118.61K,3.76%
2023-06-28,2.603,2.788,2.839,2.593,1.32K,-5.79%
2023-06-27,2.763,2.777,2.809,2.724,71.15K,-1.00%
2023-06-26,2.791,2.758,2.816,2.72,31.60K,2.27%
2023-06-23,2.729,2.612,2.74,2.52,84.43K,4.64%
2023-06-22,2.608,2.59,2.632,2.529,109.16K,0.42%
2023-06-21,2.597,2.487,2.602,2.448,125.41K,4.21%
2023-06-20,2.492,2.629,2.696,2.484,198.22K,-5.71%
2023-06-19,2.643,2.604,2.683,2.569,,1.58%
2023-06-18,2.602,2.613,2.623,2.598,,-1.14%
2023-06-16,2.632,2.552,2.653,2.522,194.54K,3.91%
2023-06-15,2.533,2.346,2.568,2.315,260.28K,8.16%
2023-06-14,2.342,2.332,2.39,2.294,141.18K,0.09%
2023-06-13,2.34,2.284,2.37,2.275,179.76K,3.27%
2023-06-12,2.266,2.304,2.324,2.206,174.48K,0.53%
2023-06-09,2.254,2.32,2.338,2.25,169.48K,-4.17%
2023-06-08,2.352,2.334,2.38,2.277,217.01K,0.99%
2023-06-07,2.329,2.264,2.346,2.25,182.39K,2.96%
2023-06-06,2.262,2.272,2.291,2.173,147.73K,0.76%
2023-06-05,2.245,2.214,2.317,2.184,149.92K,3.36%
2023-06-02,2.172,2.163,2.233,2.138,155.17K,0.65%
2023-06-01,2.158,2.255,2.283,2.136,210.62K,-4.77%
2023-05-31,2.266,2.32,2.41,2.247,151.83K,-2.62%
2023-05-30,2.327,2.417,2.448,2.257,183.53K,-0.94%
2023-05-29,2.349,2.434,2.447,2.338,,-3.53%
2023-05-28,2.435,2.418,2.441,2.417,,11.65%
2023-05-26,2.181,2.292,2.298,2.143,2.17K,-5.46%
2023-05-25,2.307,2.413,2.441,2.258,48.66K,-3.79%
2023-05-24,2.398,2.347,2.415,2.317,33.04K,3.32%
